image_name,label
0.jpg,0
1.jpg,4
2.jpg,5
8.jpg,1
10.jpg,2
16.jpg,3
24.jpg,2
26.jpg,5
27.jpg,4
31.jpg,5
33.jpg,5
39.jpg,5
42.jpg,3
43.jpg,2
45.jpg,5
48.jpg,1
50.jpg,5
54.jpg,2
55.jpg,0
56.jpg,5
58.jpg,3
62.jpg,4
65.jpg,4
68.jpg,2
71.jpg,3
74.jpg,5
75.jpg,2
80.jpg,5
82.jpg,2
83.jpg,5
90.jpg,4
91.jpg,5
92.jpg,0
94.jpg,5
96.jpg,0
97.jpg,4
98.jpg,1
100.jpg,2
102.jpg,4
104.jpg,5
105.jpg,2
106.jpg,5
107.jpg,4
108.jpg,5
109.jpg,2
111.jpg,1
113.jpg,5
116.jpg,4
120.jpg,3
122.jpg,3
124.jpg,4
128.jpg,2
131.jpg,1
134.jpg,1
136.jpg,4
139.jpg,0
142.jpg,0
146.jpg,0
147.jpg,5
148.jpg,3
150.jpg,5
151.jpg,5
153.jpg,3
154.jpg,0
155.jpg,3
157.jpg,0
158.jpg,0
159.jpg,5
160.jpg,5
162.jpg,5
164.jpg,5
166.jpg,5
167.jpg,1
170.jpg,1
174.jpg,4
175.jpg,1
177.jpg,3
178.jpg,4
180.jpg,4
181.jpg,5
186.jpg,5
187.jpg,2
188.jpg,0
189.jpg,2
190.jpg,2
193.jpg,4
194.jpg,3
195.jpg,1
196.jpg,2
197.jpg,5
200.jpg,4
201.jpg,5
204.jpg,5
205.jpg,2
206.jpg,4
208.jpg,2
209.jpg,3
210.jpg,5
216.jpg,4
217.jpg,4
218.jpg,0
219.jpg,1
223.jpg,5
224.jpg,4
226.jpg,1
228.jpg,5
229.jpg,2
230.jpg,0
231.jpg,1
232.jpg,3
234.jpg,3
235.jpg,0
236.jpg,1
239.jpg,4
240.jpg,1
241.jpg,5
243.jpg,5
245.jpg,3
246.jpg,0
247.jpg,1
248.jpg,4
249.jpg,5
253.jpg,4
254.jpg,3
256.jpg,0
257.jpg,1
258.jpg,3
259.jpg,5
260.jpg,5
