,image_name,label,probability
0,3.jpg,5,0.999962568283081
1,5.jpg,0,0.9993064403533936
2,6.jpg,4,0.9997736811637878
3,11.jpg,2,0.6294492483139038
4,14.jpg,5,0.9927383065223694
5,22.jpg,1,0.9999526739120483
6,25.jpg,4,0.999994158744812
7,28.jpg,3,0.9542587399482727
8,30.jpg,2,0.942338228225708
9,38.jpg,2,0.9990361928939819
10,51.jpg,2,0.9982757568359375
11,52.jpg,3,0.9612933397293091
12,61.jpg,0,0.9999692440032959
13,63.jpg,2,0.4791712164878845
14,64.jpg,1,0.9984410405158997
15,69.jpg,5,0.998553454875946
16,70.jpg,2,0.9989566802978516
17,72.jpg,5,0.9945217370986938
18,73.jpg,0,0.9999734163284302
19,76.jpg,3,0.8630912899971008
20,77.jpg,0,0.6549901366233826
21,79.jpg,5,0.9005323052406311
22,81.jpg,2,0.9874366521835327
23,84.jpg,3,0.9686115384101868
24,88.jpg,1,0.9999843835830688
25,93.jpg,5,0.9959957599639893
26,99.jpg,1,0.9984462857246399
27,101.jpg,2,0.9999740123748779
28,103.jpg,0,0.9953611493110657
29,110.jpg,2,0.5810179114341736
30,117.jpg,5,0.8708111047744751
31,119.jpg,2,0.9764701724052429
32,121.jpg,5,0.9997910857200623
33,126.jpg,5,0.9116363525390625
34,127.jpg,2,0.9972639083862305
35,129.jpg,4,0.9983658194541931
36,130.jpg,4,0.91661137342453
37,132.jpg,4,0.9999703168869019
38,133.jpg,5,0.9961692690849304
39,135.jpg,4,0.7296043634414673
40,140.jpg,0,0.9927250146865845
41,141.jpg,5,0.998481810092926
42,143.jpg,2,0.8980523943901062
43,144.jpg,0,0.9956220984458923
44,145.jpg,0,0.9933567643165588
45,149.jpg,1,0.9999949932098389
46,152.jpg,1,0.9999521970748901
47,156.jpg,0,0.9999337196350098
48,161.jpg,4,0.9999698400497437
49,169.jpg,5,0.9857105612754822
50,171.jpg,4,0.9999727010726929
51,172.jpg,1,0.9999960660934448
52,173.jpg,2,0.9936215281486511
53,176.jpg,2,0.7789116501808167
54,179.jpg,3,0.7252498865127563
55,182.jpg,5,0.9917941689491272
56,183.jpg,1,0.9999953508377075
57,185.jpg,3,0.9993647933006287
58,198.jpg,3,0.9973228573799133
59,199.jpg,1,0.9999898672103882
60,203.jpg,0,0.9948216676712036
61,211.jpg,4,0.9994018077850342
62,212.jpg,5,0.9429286122322083
63,215.jpg,4,0.9902945756912231
64,221.jpg,3,0.8277857899665833
65,222.jpg,0,0.999340832233429
66,225.jpg,3,0.9861453771591187
67,227.jpg,4,0.9088485240936279
68,233.jpg,4,0.9948626160621643
69,237.jpg,3,0.9961481094360352
70,238.jpg,2,0.9995062351226807
71,242.jpg,0,0.999549925327301
72,244.jpg,0,0.999962568283081
73,251.jpg,3,0.5716424584388733
74,252.jpg,3,0.9942808151245117
75,255.jpg,3,0.9967482089996338
76,268.jpg,5,0.9970735311508179
77,271.jpg,2,0.9994895458221436
78,273.jpg,1,0.9998146891593933
79,274.jpg,4,0.9974810481071472
80,278.jpg,0,0.9897425770759583
81,284.jpg,5,0.9999959468841553
82,287.jpg,4,0.9999340772628784
83,291.jpg,3,0.9807738661766052
84,302.jpg,0,0.9994587302207947
85,303.jpg,2,0.5516539812088013
86,308.jpg,3,0.8935481905937195
87,310.jpg,2,0.9997082352638245
88,319.jpg,4,0.7863881587982178
89,320.jpg,5,0.9999618530273438
90,324.jpg,5,0.9998617172241211
91,327.jpg,3,0.8910448551177979
92,328.jpg,3,0.9903454184532166
93,334.jpg,1,0.9999586343765259
94,337.jpg,4,0.9960481524467468
95,344.jpg,2,0.9995455145835876
96,346.jpg,3,0.9896495342254639
97,347.jpg,2,0.9333633780479431
98,350.jpg,5,0.8334890604019165
99,351.jpg,0,0.9984076619148254
100,354.jpg,3,0.8182985782623291
101,360.jpg,0,0.9999750852584839
102,362.jpg,3,0.6321343183517456
103,365.jpg,2,0.8766851425170898
104,368.jpg,4,0.6773665547370911
105,374.jpg,1,0.9999855756759644
106,375.jpg,5,0.9995666146278381
107,379.jpg,5,0.9870837926864624
108,382.jpg,3,0.9934375882148743
109,385.jpg,3,0.9979872703552246
110,387.jpg,5,0.9656723141670227
111,388.jpg,0,0.9986889958381653
112,389.jpg,1,0.9996535778045654
113,393.jpg,1,0.9553222060203552
114,398.jpg,4,0.9959782361984253
115,399.jpg,3,0.999722421169281
116,400.jpg,2,0.9997851252555847
117,403.jpg,4,0.9997392296791077
